ParticipantID,SemanticCategory,Phase,FixationCount_mean,FixationCount_std,FixationDuration_mean,FixationDuration_std
Participant100,Argument,Post,18.0,27.730849247724095,2398.806666666667,3111.95427576199
Participant100,Argument,Pre,57.666666666666664,55.5007507456731,2879.596666666667,2278.099599059122
Participant100,Assignment,Post,76.0,98.99494936611666,2238.11,2292.0017784024517
Participant100,Assignment,Pre,93.0,36.76955262170047,2180.59,1938.2503979104456
Participant100,Code,Post,103.66666666666667,131.9254840178096,373.77,67.15735923932684
Participant100,Code,Pre,286.6666666666667,118.53410198475936,414.18333333333334,32.660694011813874
Participant100,ConditionalBody,Post,95.0,127.27922061357856,531.905,191.68957731186123
Participant100,ConditionalBody,Pre,158.0,53.74011537017761,892.9000000000001,130.093505602701
Participant100,ConditionalStatement,Post,311.0,,3002.93,
Participant100,ConditionalStatement,Pre,196.5,53.033008588991066,2223.2849999999994,1181.3986546674234
Participant100,ExceptionHandling,Post,4.0,,492.2,
Participant100,ExceptionHandling,Pre,82.0,,386.47,
Participant100,Gemini,Post,165.66666666666666,142.42307865417507,363.75,50.5795205592145
Participant100,Gemini,Pre,164.0,145.19297503667318,426.08666666666676,156.7859439915879
Participant100,IndexOperation,Post,24.0,,354.6,
Participant100,IndexOperation,Pre,62.0,,652.57,
Participant100,Literal,Post,3.5,3.5355339059327378,2313.575,2658.375014938637
Participant100,Literal,Pre,28.0,14.142135623730951,1200.0349999999999,570.9816547403252
Participant100,LoopBody,Post,26.0,,313.8,
Participant100,LoopBody,Pre,158.0,213.54624791833734,481.85,147.77117513236473
Participant100,LoopStatement,Post,117.5,154.8563850798539,312.565,96.96555290411126
Participant100,LoopStatement,Pre,136.0,130.10764773832474,496.895,48.571164799703965
Participant100,MethodCall,Post,111.66666666666667,184.79538233769082,2029.0600000000002,1892.770063134981
Participant100,MethodCall,Pre,141.33333333333334,139.60778392816545,2352.7833333333333,1854.2292403134338
Participant100,MethodDeclaration,Post,24.0,32.526911934581186,353.395,25.590194411141134
Participant100,MethodDeclaration,Pre,19.333333333333332,21.197484127446195,542.4333333333333,216.9741519935804
Participant100,Operator,Post,0.0,,0.0,
Participant100,Operator,Pre,3.0,,539.14,
Participant100,Parameter,Post,1.6666666666666667,2.886751345948129,172.39,298.58823871679874
Participant100,Parameter,Pre,3.6666666666666665,1.5275252316519468,998.6899999999999,701.1471494629354
Participant100,Return,Post,22.0,,467.86,
Participant100,Return,Pre,68.0,,505.68,
Participant100,Summary,Post,211.66666666666666,226.99412620888086,645.9133333333333,190.07593754427026
Participant100,Summary,Pre,193.33333333333334,165.89253549612573,429.3066666666667,219.19340919227778
Participant100,VariableName,Post,3.6666666666666665,4.618802153517007,1412.1666666666667,1281.2497763642082
Participant100,VariableName,Pre,16.0,7.54983443527075,1381.18,482.65981260096635
Participant110,Argument,Post,3.5,4.949747468305833,848.62,1200.129913301056
Participant110,Argument,Pre,5.0,5.656854249492381,1010.1099999999999,1098.1368311827082
Participant110,Assignment,Post,1.0,,336.27,
Participant110,Assignment,Pre,52.0,,533.8199999999999,
Participant110,Code,Post,29.0,39.1279950930277,348.1566666666667,20.513316000426023
Participant110,Code,Pre,106.0,122.64990827554662,376.69,51.84805589412201
Participant110,ConditionalBody,Post,8.333333333333334,11.015141094572204,816.96,443.88718172526677
Participant110,ConditionalBody,Pre,54.0,83.35466393669883,882.2733333333332,1104.688818144428
Participant110,ConditionalStatement,Post,5.0,6.244997998398398,627.1266666666667,651.9797513215678
Participant110,ConditionalStatement,Pre,26.0,33.28663395418648,625.7133333333333,196.5858134081229
Participant110,ExceptionHandling,Post,1.0,,467.17,
Participant110,ExceptionHandling,Pre,0.0,,0.0,
Participant110,ExternalVarOrMethod,Post,0.0,0.0,0.0,0.0
Participant110,ExternalVarOrMethod,Pre,0.0,0.0,0.0,0.0
Participant110,Gemini,Post,357.3333333333333,107.23960711105451,251.81666666666663,9.462348193410206
Participant110,Gemini,Pre,0.0,0.0,0.0,0.0
Participant110,Literal,Post,1.5,0.7071067811865476,293.66,245.38019520735574
