AOI_Label,SemanticCategory
literal 3,Literal
literal 4,Literal
literal 5,Literal
literal1,Literal
literal10,Literal
literal2,Literal
literal3,Literal
literal4,Literal
literal5,Literal
literal6,Literal
literal7,Literal
literal8,Literal
literal9,Literal
literals,Literal
literals1,Literal
literl,Literal
litral,Literal
litral2,Literal
litral3,Literal
litral4,Literal
litreal,Literal
litreal2,Literal
litreal3,Literal
looopbody,LoopBody
loop,LoopStatement
loop body,LoopBody
loop body 1,LoopBody
loop body 3,LoopBody
loop body2,LoopBody
loop body3,LoopBody
loop stat,LoopStatement
loop stat2,LoopStatement
loop state,LoopStatement
loop statement,LoopStatement
loop statement 1,LoopStatement
loop statement 2,LoopStatement
loop statement2,LoopStatement
loop statement3,LoopStatement
loop1,LoopStatement
loop2,LoopStatement
loop3,LoopStatement
loop_body,LoopBody
loop_body2,LoopBody
loop_body3,LoopBody
loopbdoy2,LoopBody
loopbody,LoopBody
loopbody2,LoopBody
loopbody3,LoopBody
loopbodyt,LoopBody
loopsbody,LoopBody
loopstae,LoopStatement
loopstae3,LoopStatement
loopstat,LoopStatement
loopstat1,LoopStatement
loopstat2,LoopStatement
loopstat3,LoopStatement
loopstat5,LoopStatement
loopstate,LoopStatement
loopstate',LoopStatement
loopstate2,LoopStatement
loopstate3,LoopStatement
mathod2,MethodCall
medthoddec,MethodCall
mehodcall,MethodCall
methcoall,MethodCall
methddec,MethodDeclaration
methdocall,MethodCall
methdocall1,MethodCall
methdocall2,MethodCall
methdocall3,MethodCall
methdocall4,MethodCall
methdocall5,MethodCall
methdocall6,MethodCall
methdocall8,MethodCall
methdoclal5,MethodCall
methdodec,MethodDeclaration
methdoec,MethodDeclaration
methocall,MethodCall
methocall10,MethodCall
methocall12,MethodCall
methocall3,MethodCall
methocall4,MethodCall
methocall6,MethodCall
methocall8,MethodCall
methoccall6,MethodCall
method,MethodCall
method call,MethodCall
method call 1,MethodCall
method call 2,MethodCall
method call 3,MethodCall
method call 4,MethodCall
method call 5,MethodCall
method call 6,MethodCall
method call 7,MethodCall
method call 8,MethodCall
method call 9,MethodCall
method calls,MethodCall
method dec,MethodDeclaration
method declar,MethodDeclaration
method declaration,MethodDeclaration
method decleration,MethodDeclaration
method1,MethodCall
method2,MethodCall
method3,MethodCall
method4,MethodCall
method5,MethodCall
method6,MethodCall
method7,MethodCall
method8,MethodCall
method9,MethodCall
method_dec,MethodDeclaration
method_declaration,MethodDeclaration
methodall2,MethodCall
methodall7,MethodCall
methodca11,MethodCall
methodca;ll7,MethodCall
methodcal,MethodCall
methodcal1,MethodCall
methodcal2,MethodCall
methodcal3,MethodCall
methodcal4,MethodCall
methodcal5,MethodCall
methodcall,MethodCall
methodcall1,MethodCall
methodcall10,MethodCall
methodcall13,MethodCall
methodcall2,MethodCall
methodcall3,MethodCall
methodcall4,MethodCall
methodcall5,MethodCall
methodcall6,MethodCall
methodcall7,MethodCall
methodcall8,MethodCall
methodcall9,MethodCall
methodcalls,MethodCall
methoddacll2,MethodCall
methodddec,MethodDeclaration
methoddec,MethodDeclaration
methodec,MethodDeclaration
methodecl,MethodDeclaration
operator,Operator
oporator,Operator
param,Parameter
param1,Parameter
param2,Parameter
param3,Parameter
param4,Parameter
paramet,Parameter
parameter,Parameter
parameter 1,Parameter
parameter 2,Parameter
parameter2,Parameter
parameters,Parameter
params,Parameter
paramter2,Parameter
retrun statement,Return
retrun2,Return
return,Return
return statement,Return
return2,Return
return3,Return
returnstate2,Return
rreturn,Return
sum,Summary
summar,Summary
summary,Summary
ummary,Summary
vaar4,VariableName
vairabl13,VariableName
vairabl7,VariableName
vairabl9,VariableName
vairable1,VariableName
vairable5,VariableName
vairavle1,VariableName
vairbale2,VariableName
vairbals2,VariableName
vairbla3,VariableName
var,VariableName
var 1,VariableName
var 2,VariableName
var name,VariableName
var name 1,VariableName
var name 2,VariableName
var name 3,VariableName
var name 4,VariableName
var name 5,VariableName
var name 6,VariableName
var name 7,VariableName
var name1,VariableName
var02,VariableName
var1,VariableName
var10,VariableName
var11,VariableName
var12,VariableName
var120,VariableName
var13,VariableName
var14,VariableName
var15,VariableName
var16,VariableName
var17,VariableName
var18,VariableName
var19,VariableName
var2,VariableName
var20,VariableName
var21,VariableName
var22,VariableName
var23,VariableName
var3,VariableName
var4,VariableName
var5,VariableName
var6,VariableName
var7,VariableName
var8,VariableName
var9,VariableName
varaibl1,VariableName
varaibl2,VariableName
varaibl3,VariableName
varaible7,VariableName
variab2,VariableName
variabl1,VariableName
variabl10,VariableName
variabl11,VariableName
variabl12,VariableName
variabl13,VariableName
variabl14,VariableName
variabl15,VariableName
variabl2,VariableName
variabl3,VariableName
variabl4,VariableName
variabl5,VariableName
variabl6,VariableName
variabl7,VariableName
variabl8,VariableName
